"","title","artist","top.genre","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop","Country","cloudiness","temp_max_warmestMonth","temp_min_coldestMonth","temp_mean_annual","temp_annual_range","rain_mean_annual","Surf_Area_km","Pop_thou","GDP_per_cap","Urban_pop","Continent"
"1","Dance Monkey","Tones and I","australian pop",98,59,82,-6,15,51,209,69,9,100,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"2","RITMO (Bad Boys For Life)","The Black Eyed Peas","dance pop",105,72,72,-7,24,67,222,3,7,97,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"3","Tusa","KAROL G","latin",101,72,80,-3,6,57,201,30,30,96,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"4","China","Anuel AA","latin",105,81,79,-4,8,61,302,8,9,94,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"5","Vete","Bad Bunny","latin",92,67,89,-4,10,53,192,4,19,94,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"6","Fantasias","Rauw Alejandro","latin",94,70,88,-4,6,79,200,14,7,93,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"7","LA CANCIÓN","J Balvin","latin",176,65,75,-6,11,43,243,15,32,93,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"8","Adicto (with Anuel AA & Ozuna)","Tainy","pop reggaeton",80,84,73,-5,18,62,271,2,7,92,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"9","Callaita","Bad Bunny","latin",176,62,61,-5,24,24,251,60,31,92,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"10","Que Tire Pa Lante","Daddy Yankee","latin",94,90,66,-3,12,71,211,5,4,91,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"11","Whine Up","Nicky Jam","latin",105,67,82,-6,10,66,215,5,8,91,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"12","Tutu","Camilo","colombian pop",146,83,73,-3,7,94,179,27,5,90,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"13","Quizas","Rich Music LTD","reggaeton",176,82,73,-2,23,68,216,3,15,90,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"14","Si Te Vas","Sech","panamanian pop",174,64,73,-4,14,55,205,9,13,90,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
"15","Aventura","Lunay","latin",92,73,73,-3,10,88,217,22,4,90,"Argentina",159.0065316,28.21618946,1.442833996,14.20719218,26.77335546,539.8724686,2780400,44271,14564.5,91.8,"South_America"
